,quote,author
496476,"In a higher phase of communist society... only then can the narrow horizon of bourgeois right be fully left behind and society inscribe on its banners: from each according to his ability, to each according to his needs.",Karl Marx
496477,"The human being is in the most literal sense a political animal, not merely a gregarious animal, but an animal which can individuate itself only in the midst of society.",Karl Marx
496483,"Society does not consist of individuals but expresses the sum of interrelations, the relations within which these individuals stand.",Karl Marx
496491,"The ideas of the ruling class are in every epoch the ruling ideas, i.e., the class which is the ruling material force of society, is at the same time its ruling intellectual force.",Karl Marx
496502,"Society, being codified by man, decrees that woman is inferior; she can do away with this inferiority only by destroying the male's superiority.",Simone de Beauvoir
496536,I should tie myself to no particular system of society other than of socialism.,Nelson Mandela
496696,The most violent element in society is ignorance.,Emma Goldman
496741,Society cares for the individual only so far as he is profitable.,Simone de Beauvoir
496779,"I claim that human mind or human society is not divided into watertight compartments called social, political and religious. All act and react upon one another.",Mahatma Gandhi
496825,"If you say, I'm for equal pay, that's a reform. But if you say. I'm a feminist, that's a transformation of society.",Gloria Steinem
497188,"All women, and men of color - we were owned like tables and chairs. We spent a hundred years getting a legal identity as human beings. That's a big thing.",Gloria Steinem
498039,"Where globalization means, as it so often does, that the rich and powerful now have new means to further enrich and empower themselves at the cost of the poorer and weaker, we have a responsibility to protest in the name of universal freedom.",Nelson Mandela
498062,"If you're not ready to die for it, put the word 'freedom' out of your vocabulary.",Malcolm X
498066,Necessity is blind until it becomes conscious. Freedom is the consciousness of necessity.,Karl Marx
498072,Let freedom reign. The sun never set on so glorious a human achievement.,Nelson Mandela
498083,You don't have to be a man to fight for freedom. All you have to do is to be an intelligent human being.,Malcolm X
498089,"I will not leave South Africa, nor will I surrender. Only through hardship, sacrifice and militant action can freedom be won. The struggle is my life. I will continue fighting for freedom until the end of my days.",Nelson Mandela
498104,While the State exists there can be no freedom when there is freedom there will be no State. ,Vladimir Lenin
498123,Our single most important challenge is therefore to help establish a social order in which the freedom of the individual will truly mean the freedom of the individual.,Nelson Mandela
498126,"Communists have always played an active role in the fight by colonial countries for their freedom, because the short-term objects of Communism would always correspond with the long-term objects of freedom movements.",Nelson Mandela
498139,No amount of political freedom will satisfy the hungry masses.,Vladimir Lenin
498147,There is no such thing as part freedom.,Nelson Mandela
498202,Freedom is not worth having if it does not connote freedom to err.,Mahatma Gandhi
498296,"When there is state there can be no freedom, but when there is freedom there will be no state.",Vladimir Lenin
498312,I wish that every human life might be pure transparent freedom.,Simone de Beauvoir
498329,"The names of Dingane and Bambata, Hintsa and Makana, Squngthi and Dalasile, Moshoeshoe and Sekhukhuni, were praised as the glory of the entire African nation. I hoped then that life might offer me the opportunity to serve my people and make my own humble contribution to their freedom struggle.",Nelson Mandela
498351,Freedom is never dear at any price. It is the breath of life. What would a man not pay for living?,Mahatma Gandhi
498478,Violent means will give violent freedom. That would be a menace to the world and to India herself.,Mahatma Gandhi
498488,"In the Bible, God offered the Pharaoh freedom if he would just let the oppressed people free to go to the land of milk and honey. But the Pharaoh disobeyed, and he was destroyed.",Malcolm X
499226,The future belongs to those who prepare for it today.,Malcolm X
499358,Partition is bad. But whatever is past is past. We have only to look to the future.,Mahatma Gandhi
499405,The future depends entirely on what each of us does every day a movement is only people moving. ,Gloria Steinem
499480,"The country that is more developed industrially only shows, to the less developed, the image of its own future.",Karl Marx
499623,"Planning ahead is a measure of class. The rich and even the middle class plan for future generations, but the poor can plan ahead only a few weeks or days.",Gloria Steinem
