,Author,Fake_Quote,Prompt,Model
961,Walt Whitman,"A leaf sings louder than a storm, if you listen right.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
962,Leo Tolstoy,History does not forgive the faint-hearted.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
963,Vladimir Nabokov,Genius is a mapmaker with no destination.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
964,Amelia Earhart,Adventure is a dare whispered by the wind.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
965,Oscar Wilde,Society is just a costume ball where no one removes their mask.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
966,Salvador Dalí,Reality is simply imagination that aged poorly.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
967,T.S. Eliot,Time is a river that edits its own course.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
968,Ralph Waldo Emerson,What you admire in others is the mirror you forgot you own.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
969,Betty Friedan,Freedom begins when permission ends.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
970,J.R.R. Tolkien,The smallest people have the biggest worlds.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
971,Virginia Woolf,Memory folds time like a letter never sent.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
972,Immanuel Kant,Truth demands more courage than conquest.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
973,James Baldwin,The fire you seek is already burning under your silence.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
